id,name,description,category,subcategory,parent_skill_name,synonyms,is_active,created_at,updated_at
0010ff1b-f0da-4171-91d5-145f7141a00f,Bounce Pass,Pass that bounces once before reaching receiver.,Technique,Passing,Passing,"[""bounce"",""ground pass""]",true,2025-06-02 02:57:48.80719,2025-06-02 02:57:48.80719
001d5022-ac96-4f58-8f66-c941cee7e3e0,Back Tap,Tapping ball back to teammate behind you.,Technique,Rebounding,Rebounding,"[""back tap"",""rear tap""]",true,2025-06-02 03:01:40.219259,2025-06-02 03:01:40.219259
00221274-6ea5-4e64-8ac8-9ebd07e06d9e,Communication in Loud Environments,Ensuring communication is clear despite crowd noise.,Constraint,Communication,Communication,"[""loud talk"",""hand signals""]",true,2025-06-02 03:21:46.511482,2025-06-02 03:21:46.511482
00cf7129-b9f1-4711-bfb1-c736cf353cc1,Iverson,Double screen across free throw line.,Offense,Halfcourt,Actions,"[""iverson cut""]",true,2025-06-02 01:21:48.252644,2025-06-02 01:21:48.252644
01620ef8-1e87-4108-b71c-5ae03ae095ce,Off-Ball Screen Usage,Setting or using screens away from the ball.,Constraint,Screen Usage,Screen Usage,"[""off-ball screen"",""away screen""]",true,2025-06-02 03:09:37.081202,2025-06-02 03:09:37.081202
01807272-65fe-49fa-9acd-ddda43499fe4,Switch/Stay Decision,Deciding to switch or fight through screens.,Decision,Defense,Defense,"[""switch or stay"",""exchange read""]",true,2025-06-02 03:07:51.188187,2025-06-02 03:07:51.188187
03609724-2071-473b-9b7f-7fb4bbe86402,Conditioning on Back-to-Backs,Managing effort and recovery on consecutive days.,Constraint,Conditioning,Conditioning,"[""back-to-back"",""doubleheader""]",true,2025-06-02 03:23:35.601465,2025-06-02 03:23:35.601465
03d87ae9-b25d-4065-b404-319944e9280e,Communication (Defensive),"Calling screens, switches, and help on defense.",Technique,Defense,Defense,"[""defensive talk"",""call out""]",true,2025-06-02 03:07:51.188187,2025-06-02 03:07:51.188187
046f0b6a-9663-4909-877a-be1431b7b549,Read Transition,Recognizing open floor or chaos moments requiring communication.,Perception,Communication,Communication,"[""transition read"",""chaos awareness""]",true,2025-06-02 03:21:46.511482,2025-06-02 03:21:46.511482
0496c743-cf2e-4398-82e3-f6b0f228d90f,Use Screen,Utilizing the screen to gain advantage.,Technique,Screen Usage,Screen Usage,"[""come off screen"",""use pick""]",true,2025-06-02 03:09:37.081202,2025-06-02 03:09:37.081202
